target_id	length	eff_length	est_counts	tpm
YAL069W	315	288	0	0
YAL068W-A	255	228	1	0.295198
YAL068C	363	336	0	0
YAL067W-A	228	201	0	0
YAL067C	1782	1755	20	0.76701
YAL066W	309	282	0	0
YAL065C	387	360	9.79319	1.83092
YAL064W-B	381	354	14.2586	2.71094
YAL064C-A	381	354	9.01647	1.71428
YAL064W	285	258	2	0.521745
YAL063C-A	291	264	4	1.01977
YAL063C	3969	3942	143.268	2.44614
YAL062W	1374	1347	127.066	6.34909
YAL061W	1254	1227	157	8.61198
YAL060W	1149	1122	825	49.4891
YAL059C-A	423	396	0	0
YAL059W	639	612	202	22.2151
YAL058W	1509	1482	258.033	11.7186
YAL056C-A	351	324	32.9668	6.84825
YAL056W	2643	2616	404	10.3942
YAL055W	543	516	55	7.17399
YAL054C	2142	2115	110	3.5005
YAL053W	2352	2325	618	17.8901
YAL051W	3144	3117	397	8.57239
YAL049C	741	714	263	24.7917
YAL048C	1989	1962	156.029	5.35246
YAL047W-A	330	303	3.97134	0.882151
YAL047C	1869	1842	124	4.53085
YAL046C	357	330	135	27.5339
YAL045C	309	282	39.1805	9.35124
YAL044W-A	333	306	91.8195	20.1958
YAL044C	513	486	837	115.914
YAL043C	2358	2331	501	14.4658
YAL042C-A	378	351	75.355	14.4495
YAL042W	1248	1221	1204.64	66.4036
YAL041W	2565	2538	561	14.8771
YAL040C	1743	1716	246	9.64864
YAL039C	810	783	88	7.5643
YAL038W	1503	1476	58558.3	2670.24
YAL037C-B	975	948	6396.73	454.149
YAL037C-A	93	66	318	324.288
YAL037W	804	777	24	2.07892
YAL036C	1110	1083	609	37.8475
YAL035W	3009	2982	4656.05	105.089
YAL034C-B	354	327	60.2283	12.3966
YAL034W-A	870	843	53.7717	4.29313
YAL034C	1242	1215	86	4.76398
YAL033W	522	495	123	16.7243
YAL032C	1140	1113	104	6.28907
YAL031W-A	309	282	13.3474	3.18564
YAL031C	2283	2256	201.653	6.01607
YAL030W	354	327	183	37.6662
YAL029C	4416	4389	1402	21.4996
YAL028W	1587	1560	48	2.07093
YAL027W	786	759	50.6255	4.48927
YAL026C-A	438	411	73.7728	12.081
YAL026C	4068	4041	1379.6	22.978
YAL025C	921	894	170	12.7985
YAL024C	4308	4281	435	6.83899
YAL023C	2280	2253	3032	90.5766
YAL022C	1554	1527	377	16.6169
YAL021C	2514	2487	867.022	23.464
YAL020C	1002	975	101.008	6.9727
YAL019W-A	570	543	1.99161	0.24686
YAL019W	3396	3369	972	19.4184
YAL018C	978	951	1	0.070773
YAL017W	4071	4044	839	13.9636
YAL016C-B	186	159	25	10.5826
YAL016C-A	315	288	83.3955	19.4894
YAL016W	1908	1881	1084.6	38.8088
YAL015C	1200	1173	89	5.1067
YAL014C	768	741	196	17.8027
YAL013W	1218	1191	105	5.9337
YAL012W	1185	1158	2619	152.221
YAL011W	1878	1851	134	4.87244
YAL010C	1482	1455	97	4.48701
YAL009W	780	753	114	10.1896
YAL008W	597	570	122	14.4057
YAL007C	648	621	535	57.9843
YAL005C	1929	1902	18622.3	658.979
YAL004W	648	621	0	0
YAL003W	621	594	10689	1211.15
YAL002W	3825	3798	344	6.09609
YAL001C	3483	3456	518	10.088
YAR002W	1620	1593	458	19.3507
YAR002C-A	660	633	868	92.292
YAR003W	1281	1254	167	8.96328
YAR007C	1866	1839	619	22.6546
YAR008W	828	801	85	7.14224
YAR009C	3591	3564	9997.27	188.796
YAR010C	1323	1296	517.132	26.8562
YAR014C	2130	2103	595	19.0426
YAR015W	921	894	756	56.9157
YAR018C	1308	1281	174	9.14215
YAR019C	2925	2898	191.616	4.45022
YAR019W-A	333	306	1.3842	0.304456
YAR020C	168	141	2.4042	1.14762
YAR023C	540	513	26	3.41118
YAR027W	708	681	202.045	19.9687
YAR028W	705	678	93.9551	9.32693
YAR029W	225	198	12	4.0791
YAR030C	342	315	19	4.05967
YAR031W	897	870	85.9372	6.64829
YAR033W	705	678	72.1384	7.16119
YAR035W	2064	2037	91	3.00676
YAR035C-A	81	54	1	1.24639
YAR042W	3567	3540	840.754	15.985
YAR047C	321	294	14	3.20501
YAR050W	4614	4587	120.085	1.762
YAR053W	297	270	7	1.74495
YAR060C	336	309	12	2.61379
YAR064W	300	273	5	1.23269
YAR066W	612	585	35.2071	4.05063
YAR068W	486	459	0	0
YAR069C	294	267	1	0.252079
YAR070C	300	273	1.5	0.369808
YAR071W	1404	1377	669.289	32.7135
YAR073W	1212	1185	0	0
YAR075W	474	447	0	0
YBL113C	2379	2352	9.54905	0.273257
YBL113W-A	483	456	28.1093	4.14891
YBL112C	318	291	0	0
YBL111C	2004	1977	6.56389e-05	2.23462e-06
YBL109W	336	309	0	0
YBL108C-A	129	102	1.61533	1.06588
YBL108W	306	279	0	0
YBL107W-A	105	78	52.6604	45.4399
YBL107C	591	564	98	11.6949
YBL106C	3033	3006	302	6.76186
YBL105C	3456	3429	737	14.466
YBL104C	3117	3090	394	8.58195
YBL103C	1461	1434	128	6.00771
YBL102W	648	621	308	33.3816
YBL101C	3354	3327	523	10.5803
YBL100W-C	120	93	1	0.723711
YBL100W-A	1317	1290	1.86401	0.0972538
YBL100W-B	5313	5286	327.591	4.17112
YBL100C	315	288	109.409	25.5687
YBL099W	1638	1611	3123.59	130.499
YBL098W	1383	1356	207	10.2745
YBL097W	2265	2238	247	7.42822
YBL096C	309	282	19.4259	4.63639
YBL095W	813	786	98.9731	8.47506
YBL094C	333	306	24.601	5.41102
YBL093C	663	636	164	17.3554
YBL092W	393	366	8974	1650.26
YBL091C-A	528	501	71	9.53825
YBL091C	1266	1239	843	45.7936
YBL090W	534	507	125	16.594
YBL089W	1380	1353	150	7.46176
YBL088C	8364	8337	699	5.64307
YBL087C	414	387	3827.12	665.593
YBL086C	1401	1374	107	5.24137
YBL085W	2943	2916	579	13.3641
YBL084C	2277	2250	196.657	5.88269
YBL083C	426	399	20.6217	3.47856
YBL082C	1377	1350	278.378	13.8787
YBL081W	1107	1080	93.1413	5.80452
YBL080C	1626	1599	104	4.37757
YBL079W	4509	4482	1847	27.736
YBL078C	354	327	37	7.61556
YBL077W	432	405	458.327	76.1673
YBL076C	3219	3192	10133.7	213.674
YBL075C	1950	1923	179	6.26501
YBL074C	1068	1041	119.985	7.75757
YBL073W	312	285	9.01468	2.12889
YBL072C	603	576	10349.2	1209.29
YBL071C-B	99	72	2	1.86959
YBL071W-A	249	222	100	30.3176
YBL071C	309	282	119	28.4018
YBL070C	321	294	28.6011	6.54763
YBL069W	1290	1263	219.974	11.7224
YBL068W-A	237	210	2.42473	0.777127
YBL068W	981	954	374	26.3859
YBL067C	2244	2217	607	18.4277
YBL066C	3447	3420	226.363	4.45479
YBL065W	345	318	6.63712	1.40475
YBL064C	786	759	347	30.7706
YBL063W	3336	3309	334	6.79357
YBL062W	381	354	20.3931	3.87729
YBL061C	2091	2064	512.607	16.7156
YBL060W	2064	2037	172	5.6831
YBL059C-A	330	303	86	19.1031
YBL059W	582	555	50	6.06352
YBL058W	1272	1245	843	45.5729
YBL057C	627	600	234	26.249
YBL056W	1407	1380	1191	58.0872
YBL055C	1257	1230	240	13.1327
YBL054W	1578	1551	203	8.80912
YBL053W	375	348	15.5449	3.00646
YBL052C	2496	2469	363.455	9.90781
YBL051C	2007	1980	713	24.2366
YBL050W	879	852	446	35.2325
YBL049W	417	390	26	4.48701
YBL048W	312	285	15	3.54237
YBL047C	4146	4119	2731	44.625
YBL046W	1326	1299	109	5.64762
YBL045C	1374	1347	639	31.9287
YBL044W	369	342	1	0.196799
YBL043W	774	747	4	0.360402
YBL042C	1920	1893	615	21.8662
YBL041W	726	699	748	72.0232
YBL040C	660	633	316	33.5994
YBL039W-B	180	153	5	2.19951
YBL039C	1740	1713	2113	83.0214
YBL039C-A	84	57	0	0
YBL038W	699	672	171	17.1267
YBL037W	3078	3051	457	10.0814
YBL036C	774	747	355	31.9857
YBL035C	2118	2091	299	9.62421
YBL034C	4542	4515	512	7.63239
YBL033C	1038	1011	177	11.7834
YBL032W	1146	1119	796	47.8775
YBL031W	1017	990	78	5.30283
YBL030C	957	930	1720	124.478
YBL029C-A	285	258	37	9.65228
YBL029W	1131	1104	43	2.62149
YBL028C	321	294	217	49.6776
YBL027W	570	543	10515.6	1303.42
YBL026W	288	261	232	59.8268
YBL025W	438	411	37	6.0591
YBL024W	2055	2028	1353	44.9033
YBL023C	2607	2580	435	11.348
YBL022C	3402	3375	2027	40.423
YBL021C	435	408	75	12.3723
YBL020W	1725	1698	382	15.1417
YBL019W	1563	1536	91	3.98748
YBL018C	402	375	148	26.5631
YBL017C	4740	4713	2287.93	32.6733
YBL016W	1062	1035	182	11.8353
YBL015W	1581	1554	201	8.70549
YBL014C	2685	2658	325	8.22956
YBL013W	1206	1179	66	3.76772
YBL012C	402	375	61.6404	11.0632
YBL011W	2280	2253	741.854	22.1618
YBL010C	843	816	67	5.52628
YBL009W	2031	2004	285	9.57184
YBL008W-A	240	213	6	1.89592
YBL008W	2523	2496	291	7.84687
YBL007C	3735	3708	2775	50.3699
YBL006C	543	516	204	26.609
YBL006W-A	150	123	0	0
YBL005W	2931	2904	537	12.4459
YBL005W-A	1323	1296	132.804	6.89689
YBL005W-B	5268	5241	9445.13	121.295
YBL004W	7482	7455	4525	40.8525
YBL003C	399	372	1481.37	268.021
YBL002W	396	369	1469.57	268.048
YBL001C	315	288	305	71.278
YBR001C	2343	2316	469.087	13.6321
YBR002C	861	834	162	13.0737
YBR003W	1422	1395	276	13.3163
YBR004C	1302	1275	165	8.71007
YBR005W	642	615	58	6.34747
YBR006W	1494	1467	126	5.78081
YBR007C	2211	2184	183	5.63958
YBR008C	1647	1620	103	4.27928
YBR009C	312	285	1844.31	435.549
YBR010W	411	384	2145.33	376.021
YBR011C	864	837	5701	458.431
YBR012C	420	393	61	10.4468
YBR012W-A	1323	1296	0.210462	0.0109299
YBR012W-B	5271	5244	1326.94	17.0309
YBR013C	390	363	64	11.8665
YBR014C	612	585	200	23.0103
YBR015C	1794	1767	1204	45.8604
YBR016W	387	360	164	30.6612
YBR017C	2757	2730	1469.32	36.2245
YBR018C	1101	1074	6	0.376006
YBR019C	2100	2073	75	2.43506
YBR020W	1587	1560	71	3.06325
YBR021W	1902	1875	143	5.13314
YBR022W	534	507	89	11.8149
YBR023C	3498	3471	1096	21.2522
YBR024W	906	879	81	6.20218
YBR025C	1185	1158	4221	245.332
YBR026C	1143	1116	365	22.0129
YBR027C	333	306	24	5.27883
YBR028C	1578	1551	306	13.2788
YBR029C	1374	1347	523	26.1326
YBR030W	1659	1632	216	8.90803
YBR031W	1089	1062	10920	692.066
YBR032W	303	276	7	1.70701
YBR033W	2760	2733	109	2.68432
YBR034C	1047	1020	655	43.2204
YBR035C	687	660	498	50.7848
YBR036C	1233	1206	641	35.7733
YBR037C	888	861	124	9.69319
YBR038W	2892	2865	811	19.0522
YBR039W	936	909	710	52.5706
YBR040W	897	870	3	0.232087
YBR041W	2010	1983	574	19.4822
YBR042C	1194	1167	264	15.2258
YBR043C	2070	2043	234	7.70896
YBR044C	1719	1692	188	7.47835
YBR045C	1920	1893	50	1.77774
YBR046C	1005	978	206	14.1767
YBR047W	528	501	30	4.03025
YBR048W	471	444	4420.71	670.127
YBR049C	2433	2406	873	24.4212
YBR050C	1017	990	27.2672	1.85376
YBR051W	351	324	4.73278	0.98315
YBR052C	633	606	424	47.0914
YBR053C	1077	1050	268	17.1788
YBR054W	1035	1008	216.456	14.453
YBR055C	2700	2673	399	10.0467
YBR056W	1506	1479	419	19.0675
YBR056W-A	201	174	8	3.09449
YBR056C-B	159	132	0	0
YBR057C	1101	1074	119	7.45746
YBR058C	2346	2319	531	15.4114
YBR058C-A	243	216	168	52.3484
YBR059C	3327	3300	1031	21.0277
YBR060C	1863	1836	281	10.3011
YBR061C	933	906	222	16.492
YBR062C	543	516	124	16.1741
YBR063C	1215	1188	143.806	8.14719
YBR064W	429	402	6.19432	1.03709
YBR065C	1095	1068	139	8.75975
YBR066C	663	636	121	12.8049
YBR067C	633	606	594	65.9723
YBR068C	1830	1803	2077	77.5334
YBR069C	1860	1833	2057	75.5301
YBR070C	714	687	144	14.1076
YBR071W	636	609	134	14.8093
YBR072W	645	618	142	15.4649
YBR072C-A	162	135	0	0
YBR073W	2877	2850	885	20.9
YBR074W	2931	2904	981	22.7363
YBR076W	1065	1038	19	1.23198
YBR076C-A	267	240	26	7.29139
YBR077C	489	462	126	18.3559
YBR078W	1290	1263	6620	352.779
YBR079C	2895	2868	3691	86.619
YBR080C	2277	2250	1049	31.3791
YBR081C	3999	3972	673	11.4039
YBR082C	447	420	821	131.565
YBR083W	1461	1434	276	12.9541
YBR084W	2928	2901	3032	70.3444
YBR084C-A	570	543	8256.36	1023.38
YBR085W	924	897	94	7.05316
YBR085C-A	258	231	186	54.1937
YBR086C	2841	2814	1916	45.8268
YBR087W	1065	1038	248	16.0806
YBR088C	777	750	387.298	34.7562
YBR089W	600	573	161.702	18.9937
YBR089C-A	300	273	209.353	51.6136
YBR090C	369	342	36.6471	7.2121
YBR091C	330	303	76	16.8818
YBR092C	1404	1377	1450.98	70.9213
YBR093C	1404	1377	742.566	36.2952
YBR094W	2262	2235	388	11.6843
YBR095C	1293	1266	155	8.24036
YBR096W	693	666	431	43.5563
YBR097W	4365	4338	475	7.36974
YBR098W	2076	2049	111.411	3.65962
YBR099C	384	357	11.5887	2.18481
YBR101C	873	846	346	27.5267
YBR102C	2262	2235	338	10.1786
YBR103W	1608	1581	213	9.06767
YBR103C-A	144	117	7	4.0268
YBR104W	990	963	169	11.8116
YBR105C	1089	1062	119	7.54172
YBR106W	567	540	2449	305.241
YBR107C	738	711	84	7.95166
YBR108W	2844	2817	230.218	5.50049
YBR109C	444	417	702	113.305
YBR109W-A	225	198	27	9.17797
YBR110W	1350	1323	369	18.7722
YBR111C	696	669	465	46.7816
YBR111W-A	291	264	86	21.9252
YBR112C	2901	2874	891.813	20.885
YBR113W	483	456	58.0142	8.56283
YBR114W	2373	2346	153	4.38946
YBR115C	4179	4152	1999	32.4044
YBR116C	528	501	11.8208	1.58802
YBR117C	2046	2019	51.1792	1.7061
YBR118W	1377	1350	104228	5196.35
YBR119W	897	870	105	8.12303
YBR120C	489	462	69	10.0521
YBR121C	2004	1977	5669	192.996
YBR121C-A	159	132	0	0
YBR122C	534	507	184	24.4263
YBR123C	1950	1923	223.409	7.81932
YBR124W	360	333	4.59133	0.927987
YBR125C	1182	1155	224	13.0531
YBR126C	1488	1461	1192	54.9129
YBR126W-A	207	180	288.569	107.901
YBR126W-B	144	117	74.4313	42.8171
YBR127C	1554	1527	6129	270.146
YBR128C	1035	1008	28	1.86959
YBR129C	987	960	189	13.2507
YBR130C	1278	1251	360	19.3684
YBR131W	2115	2088	143.324	4.61996
YBR131C-A	90	63	0.675556	0.72172
YBR132C	1791	1764	235	8.96638
YBR133C	2484	2457	634.974	17.394
YBR134W	402	375	25.0262	4.49171
YBR135W	453	426	134.786	21.2953
YBR136W	7107	7080	733	6.96817
YBR137W	540	513	165	21.6478
YBR138C	1575	1548	107	4.65223
YBR139W	1527	1500	562	25.217
YBR140C	9279	9252	2420	17.6047
YBR141C	1014	987	104	7.09193
YBR141W-A	96	69	0	0
YBR142W	2322	2295	645	18.9158
YBR143C	1314	1287	2641	138.114
YBR144C	315	288	2	0.467397
YBR145W	1056	1029	99	6.47542
YBR146W	837	810	275	22.8505
YBR147W	891	864	13	1.01269
YBR148W	1830	1803	34	1.2692
YBR149W	1035	1008	881	58.8252
