Protein,Final_Quant
YHR208W,27772.26856
YOR187W,31850.19135
YKL181W,44301.3349
YDR075W,776.5803105
YOR303W,15264.4815
YPR100W,1804.003944
YCL009C,127886.4876
YOR184W,31504.88355
YAL005C,328569.3603
YOR361C,17327.28946
YGR214W_YLR048W,508058.6595
YBL055C,4972.185739
YDR248C,18206.76876
YGL125W,11007.65489
YOR288C,12323.9669
YNL138W,74292.33176
YNL031C_YBR010W,242044.0774
YHR064C,60932.85818
YBR245C,2410.870623
YDR062W,4756.115844
YCL057W,26459.43064
YBR056W,90692.95407
YHR008C,128465.2365
YGL121C,28383.09693
YMR302C,28816.39352
YLR406C_YDL075W,103007.872
YMR096W,144298.4676
YFR010W,9653.086216
YNL162W_YHR141C,23833.63898
YLR304C,288713.3064
YDR343C,32402.02545
YHL013C,28599.05193
YKR049C,39022.23578
YJL050W,25151.83684
YPL236C,17174.1676
YML048W,8447.44702
YKL165C,40406.89918
YGL071W,6935.42291
YHR088W,12150.16236
YBR058C-A,1889.225859
YKL211C,376707.1391
YKL145W,10847.29234
YDL223C,26148.47002
YGR132C,82892.31126
YNR040W,29656.96025
YMR194W_YPL249C-A,2370359.935
YGL227W,24828.61225
YNL256W,9010.690225
YHL033C_YLL045C,108364.5985
YOR222W,162557.1512
YGL115W,69579.65035
YPL198W_YGL076C,49173.85822
YGR124W,1660850.814
YGL068W,36645.23407
YJR049C,69832.7084
YNL241C,319058.8745
YDL229W,68006.54184
YDR258C,10271.60651
YER048C,4918.003408
YJL034W,26214.24253
YJR064W,6190.195555
YMR214W,1443.160851
YBL075C,664.0965298
YDR320C,1549.99262
YEL003W,9647.267962
YKL073W,2529.850648
YLR008C,4057.514279
YDR171W,9381.104064
YDR212W,12027.36278
YGL018C,472.4889745
YLR090W,326.3760901
YML094W,1993.752663
YBR150C,5661.364276
YDR463W,493.4770217
YDR485C,1252.884501
YDR520C,779.8360283
YIR017C,639.676083
YNL027W,999.8630102
YPL089C,1032.72652
YPL128C,1984.554984
YPL133C,410.0401104
YPL177C,490.613477
YDR207C,471.1875349
YIR023W,431.9902301
YMR042W,222.7994288
YER040W,680.9252476
YGL013C,553.3478473
YGL162W,86.44203098
YMR021C,491.3622121
YNL167C,610.20086
YHL009C,755.0729595
YHR084W,802.7021245
YIL130W,853.2315747
YIL131C,711.070701
YJL110C,98.04906806
YKL043W,211.4121927
YKL185W,330.8999726
YLR451W,205.5224567
YML099C,243.7865053
YMR016C,366.1567935
YMR037C,1081.301409
YAL041W,509.6437801
YDR373W,637.8221018
YLR433C,1008.350725
YMR028W,382.8416698
YDL159W,335.1686105
YDR440W,297.2701038
YDR524C,174.3357721
YHR186C,528.0633428
YKR028W,870.8430914
YLR319C,546.848042
YOL100W,476.2025013
YOL148C,518.3478605
YPL161C,674.2140896
YBL085W,316.1987609
YHR005C,465.3361098
YKR019C,61.21785417
YNL173C,709.3316666
YBR200W,939.7271875
YDL234C,493.693037
YDR183W,945.176961
YER114C,964.7477752
YLR182W,788.4493799
YOR171C,804.6064316
YDR170C,3119.347374
YDR379W,2323.235434
YFR014C,4782.944124
YIL033C,8434.273422
YNL180C,7751.502946
YER118C,587.2650095
YOR281C,2167.070827
YER122C,2681.540407
YIL044C,1560.186259
YLR084C,1061.903664
YOL078W,260.7610585
YDL135C,5125.037729
YNL267W,461.6672509
YOR014W,6011.295854
YGL210W,3384.939071
YJL087C,1363.650894
YOL081W,902.3319909
YNL293W,445.0568574
YOR101W,2813.159748
YPL051W,909.5671992
YDR264C,5418.649364
YER027C,2243.946238
YER031C,9878.090488
YOR368W,284.9912357
YBR058C,869.7215029
YIL097W,625.1180969
YMR135C,1119.184311
YNL159C,347.2224725
YOL019W,1122.758801
YKL210W,94211.51331
YLR097C,310.9483969
YOR138C,781.8704764
YPR122W,507.2080305
YHR028C,2046.935912
YML111W,481.0198396
YOL098C,2112.135558
YPL126W,1762.366328
YEL059C-A,3515.915875
YGR231C,13268.4418
YBL006C,3566.451026
YCR066W,623.4601182
YGR277C,3718.311271
YHR166C,827.0353957
YAL014C,874.575222
YDL091C,526.7753229
YFL044C,1874.485398
YGL122C,1193.740897
YGR253C,7918.387229
YLR417W,277.523663
YML130C,3642.757449
YNR051C,1532.037049
YJR099W,841.6692553
YFR004W,9897.040892
YBR114W,467.1829812
YBR170C,29176.52471
YJL024C,1989.238476
YKL041W,2529.209407
YPL046C,884.3268075
YOR256C,1098.22597
YJR117W,8074.712988
YKL206C,7414.300422
YLR120C,369300.4477
YLR389C,5826.038072
YBL045C,13995.38265
YOR117W,5680.768398
YCL050C,11117.27093
YBR101C,12388.05722
YBR139W,5330.783707
YIL017C,433.5235382
YJR052W,1365.677322
YGL203C,1432.536816
YNR032C-A,24523.9278
YPL096W,1066.54128
YPR108W,26937.13662
YDL104C,410.2626431
YIL108W,4975.683446
YIL156W,1411.91472
YKL213C,3004.926287
YNL045W,24595.7359
YDL131W,7343.621175
YDR321W,6463.594426
YMR062C,8165.535084
YMR083W,10164.15982
YOR168W,5561.220205
YDL182W,9389.307361
YER086W,41743.75517
YHR091C,1358.137868
YPL111W,234485.4247
YAL044C,15708.14869
YBR084W,1925.01061
YBR213W,2761.291185
YGL196W,2466.349644
YLR027C,32734.09528
YPL160W,21394.38048
YMR090W,15408.83589
YAL062W,2851.743589
YBR166C,3866.994403
YDR019C,15299.09657
YJR139C,191878.6162
YKR069W,1234.117872
YLR060W,18863.59811
YMR169C,4435.525942
YPL097W,1270.768399
YBR208C,3232.288094
YER023W,32540.95798
YKL001C,29878.05435
YPR081C,5231.049999
YDR037W,1470.090235
YHR011W,562.9133849
YIL116W,1456.666434
YMR108W,3509.70717
YCL017C,8752.726442
YDR354W,4942.512322
YKL029C,2779.07341
YMR170C,3411.917158
YOR108W,2025.143536
YPR047W,485.0487995
YDR283C,657.7219505
YLR126C,4464.732407
YMR095C,4174.563557
YNR001C,12274.26629
YPR118W,7148.911526
YBR265W,575.3848659
YHR074W,2370.389704
YIR031C,292.6783287
YJL126W,199.325889
YIR030C,221.6410229
YGR121C,1684.145363
YKL107W,651.826412
YNL183C,819.8907307
YNL229C,3154.454966
YDL025C,1327.034195
YJL141C,885.881766
YDR196C,598.059452
YJR059W,1039.936132
YJR105W,41893.62559
YLL019C,2124.053894
YPR111W,727.685586
YBR160W,3376.385811
YNL207W,1542.421177
YNR027W,491.8000136
YDR020C,575.1959652
YJL057C,287.6270141
YLR345W,2900.125038
YNL129W,1051.326382
YGL083W,584.9243332
YOL055C,1419.295586
YGR092W,619.3102255
YPL204W,2916.360472
YIL107C,1360.801562
YLR096W,427.3439314
YMR104C,329.2894916
YOR061W,554.8529303
YOR267C,1476.520753
YPL153C,930.0818363
YGL126W,1188.372473
YPL013C,643.3474394
YBR117C,14759.56943
YDR032C,92084.02516
YDR164C,1240.639181
YIL155C,9299.123755
YMR244C-A,84462.93566
YGR097W,808.5020162
YGR209C,112675.7606
YKL143W,1732.673808
YKR066C,1329.237481
YLR225C,2965.621668
YPL091W,39841.52049
YPL196W,1482.269734
YBR046C,2042.941915
YDR453C,1295.542083
YNL080C,2406.324491
YOR120W,2506.696284
YGR029W,2219.050225
YMR251W,576.7833189
YBL061C,739.1338803
YDL022W,30296.35209
YLR336C,432.4740769
YBR132C,162.316191
YHR114W,683.1875847
YIL153W,638.7611919
YLR337C,1282.8785
YBR192W,942.3851967
YGL077C,2675.455796
YHR168W,592.209496
YLR342W,6068.476125
YBR049C,6189.893761
YDR232W,5027.644106
YER107C,4586.204699
YAR002W,1629.994471
YGL107C,835.4457114
YGL112C,1159.737227
YHL017W,2430.050136
YLR188W,2170.563199
YNR045W,492.4224076
YOR039W,6136.571601
YGR180C,57406.18676
YLR215C,2451.864403
YMR130W,21923.1663
YKL077W,46796.99378
YOR286W,8286.597754
YPL063W,10165.49999
YGR261C,1305.263057
YKL127W,3894.846581
YMR080C,2768.316956
YOR354C,1541.187565
YBL069W,1414.72609
YML068W,6564.49889
YER172C,561.0291789
YGR218W,4302.906772
YIL083C,2097.296576
YDL224C,4777.311189
YDR449C,1498.671846
YHR119W,407.1437397
YOL144W,572.5874647
YER006W,265.6203653
YFR001W,1407.432407
YHR081W,1155.811535
YNL075W,1201.380178
YNL317W,532.0563131
YOL041C,2499.051204
YPR137W,990.3450524
YBL032W,28785.11324
YJL069C,1247.320215
YDR301W,546.3967139
YDR365C,1178.882849
YER127W,553.6966902
YML105C,2096.527367
YMR093W,1556.273197
YNL175C,1127.710401
YNR054C,706.6574442
YBR119W,874.9669355
YBR142W,544.7244757
YBR257W,413.1493661
YGL064C,459.939929
YLR398C,1295.270093
YOR078W,1133.245302
YCL059C,1992.322806
YDL209C,10492.79628
YDR515W,1668.251344
YLR116W,2579.941843
YLR129W,1495.79882
YNL061W,6292.719206
YAL021C,4957.277791
YDL201W,1731.168544
YJL033W,35573.78315
YLR186W,4943.190789
YNL232W,2531.073753
YOL123W,12070.55267
YPL043W,1789.999746
YPR107C,559.2417663
YER168C,1866.336867
YGL014W,1227.685815
YGR222W,823.5697871
YHR066W_YDR312W,3171.980405
YJL109C,1994.35987
YPL217C,1784.426779
YGL222C,1560.80937
YGR195W,1148.054511
YJR022W,2919.50862
YJR093C,2361.998798
YNL110C,8941.406496
YNL124W,721.6131042
YNL147W,43951.70128
YPL266W,1836.729118
YBR251W,1186.744819
YDR337W,9704.6403
YER050C,1464.832932
YKL167C,2222.853633
YMR188C,1270.844909
YDR237W,4395.618578
YER025W,16873.26
YJL207C,702.5603074
YJR007W,4885.539361
YGR215W,2426.136079
YJL096W,11193.8584
YKL155C,251.2586026
YLL032C,871.5161893
YNL137C,1934.817816
YOR253W,7261.726854
YPL220W_YGL135W,156902.031
YIR003W,2178.553634
YJL190C_YLR367W,179280.4063
YLR325C,138641.6633
YMR086W,1804.687491
YDL040C,3245.293801
YHR013C,5672.183066
YJR113C,698.4834327
YML025C,1579.382888
YOR091W,1735.406013
YPR091C,860.8618198
YNL208W,37515.13084
YNL284C,870.8092725
YOR158W,1532.373723
YPL211W,1974.964558
YDR322W,2178.641051
YML009C,620.8656268
YNR036C,1297.310319
YDL202W,241.1279759
YEL047C,5521.265939
YGL129C,337.8565575
YDL045W-A,1667.913535
YDR494W,523.8296656
YGR076C,1195.719709
YKL170W,1118.389461
YMR193W,1230.632586
YBL038W,2442.345081
YDR115W,1258.60337
YMR286W,1526.306211
YOR063W,119873.1874
YOR150W,1484.447316
YOR252W,303.7240704
YBR014C,2372.57296
YBR216C,1474.650859
YHR106W,9354.43093
YKL086W,1396.634504
YLL060C,268.1230502
YNR074C,377.0528359
YOR297C,1777.58961
YPL059W,2142.574894
YDR188W,4563.044565
YDR533C,6440.673081
YJR045C,54905.27189
YLR369W,2320.756476
YMR186W,84300.73567
YFR041C,3390.352912
YJL073W,444.3987849
YFL016C,3177.603687
YPL240C,23191.95938
YDL170W,767.5134003
YNL216W,3443.789044
YKL038W,520.1052282
YMR043W,2524.083862
YNL103W,689.434183
YGL166W,528.6045284
YLR278C,368.0066362
YMR019W,127.9570009
YAL024C,160.188463
YKL197C,382.85605
YLR248W,1167.072412
YNL047C,436.4782531
YBR260C,896.458541
YGL190C,1798.789746
YGR040W,166.4855818
YDL006W,616.822235
YGL208W,169.7889164
YJL080C,2327.569642
YPR165W,7103.578252
YBR274W,322.1508771
YIL118W,4940.943891
YJL058C,2551.868157
YJR066W,559.6745172
YML001W,13648.4055
YPR040W,663.7414877
YFL027C,579.941179
YGR152C,21338.31436
YOL016C,3040.857974
YGL181W,2258.677274
YBR264C,928.2976683
YAL055W,1234.229684
YHL007C,1683.287338
YCR033W,1057.794603
YDR477W,2471.626765
YLR332W,2069.931679
YGL054C,27424.14034
YDL168W,11701.24728
YIR022W,7294.508717
YKL134C,772.4740214
YDR328C,3942.877374
YNL015W,29240.95107
YNL172W,255.5172463
YOR261C,1819.64795
YLR108C,687.7399269
YML013W,3822.245933
YML029W,1821.729022
YBR273C,7497.682034
YDR177W,45056.18424
YDR358W,4571.840815
YFR044C,58882.22499
YMR067C,4087.577977
YOL133W,17379.06166
YDR400W,986.205125
YHR024C,1676.480147
YPL002C,317.3514878
YDR430C,870.6173677
YGL048C,11399.49111
YMR022W,2758.346893
YMR038C,5837.670177
YHR132C,11710.41139
YIR009W,1461.704774
YLR163C,8737.487097
YMR115W,1218.62689
YMR139W,1891.310314
YEL060C,741968.8133
YER143W,3034.610409
YBR173C,2370.90477
YHR113W,4849.27298
YKR087C,2423.614144
YBR201W,1111.713871
YGR135W,6548.132095
YNL123W,1691.273898
YNL239W,23108.4546
YOR197W,5490.726756
YBL017C,6368.235079
YNR007C,2274.891492
YOL158C,2237.053836
YGL172W,3337.559699
YHR043C,6811.384973
YLR244C,5708.73824
YMR297W,3530.238855
YNR020C,722.9037008
YDR457W,2199.413504
YKL034W,599.4210911
YBL067C,443.6079317
YDL147W,6175.450045
YDR531W,1468.995184
YHR171W,483.6700887
YML092C,7318.908164
YMR314W,8975.092092
YDL100C,21763.37549
YOR259C,7399.882707
YOR298C-A,56644.80077
YBL036C,2902.165885
YER081W,54531.18241
YDR127W,13168.08992
YJL071W,525.1700213
YJL130C,27277.86549
YJR137C,10303.41933
YBR249C,47465.89478
YDR007W,5850.69807
YIR034C,6189.77157
YLR438W,66916.35799
YMR217W,23633.01288
YOL058W,5619.420654
YLR303W,721928.3672
YHR020W,8196.393839
YJR148W,3964.436197
YMR189W,2016.029088
YDR268W,7261.15933
YPL104W,562.9567193
YKL184W,262.9532903
YDR384C,100505.3102
YNL076W,1011.809579
YHR123W,1326.5468
YIR032C,1442.384177
YDR017C,952.7393078
YDR454C,34203.95955
YHR205W,1891.209852
YNL307C,4474.998784
YDR109C,870.8956973
YJL155C,1910.473353
YJL165C,1150.57531
YDR236C,2098.94257
YIL035C,12382.08876
YDL166C,2539.624989
YGR262C,1918.856605
YHR135C,1749.062241
YBR137W,8590.618615
YJR019C,20639.0401
YBR126C,72000.53719
YLR258W,12270.6823
YNL305C,1339.598013
YNL099C,1816.358121
YNL259C,28342.33539
YCL033C,4803.689294
YDR098C,33379.09337
YKL150W,21626.73493
YML086C,98819.64443
YPL239W,4310.461381
YDR346C,12714.84928
YLR109W,467901.2407
YMR175W,2239.907369
YNL091W,476.2115442
YPL061W,28162.41208
YER019W,1519.012191
YER062C,8361.089194
YIL053W,70667.42201
YOR043W,1470.702669
YOR367W,1112.721609
YPL223C,535.7833027
YLR262C-A,29453.71468
YMR318C,7786.740776
YBL080C,513.7159388
YBR196C,188893.7964
YDL205C,2238.999419
YGR271W,929.9084423
YML129C,2188.934502
YOR164C,5399.501844
YCL028W,18531.75563
YLR226W,1603.255128
YAL016W,8854.470602
YDR135C,3645.877462
YER049W,4635.364888
YDL212W,14175.94625
YGL043W,6660.415096
YNL001W,10919.95636
YDL236W,5020.407191
YDR493W,2494.911193
YER154W,15477.38384
YGL067W,7952.504118
YHR039C-A,51217.84072
YHR189W,638.3562994
YLR059C,12779.38279
YNL261W,864.0323743
YHL003C,3786.098541
YKL152C,607270.1354
YNL244C,16339.46318
YPL125W,3347.313182
YPL208W,1999.251942
YBR029C,8900.976014
YGL019W,2279.92812
YGR192C,3531903.35
YPR097W,1363.837606
YGL243W,712.4125923
YOL066C,1670.665436
YPR088C,6466.782205
YGR276C,865.1627994
YOR198C,10911.14135
YDR429C,8565.951528
YLR147C,2117.278093
YMR125W,4590.796887
YJL124C,3420.375019
YDL160C,18315.90685
YPL178W,3497.185713
YER029C,6114.055817
YGL171W,2444.167673
YDR280W,2146.142949
YDL111C,4898.208005
YKR081C,1606.140556
YLR276C,2138.861644
YDR462W,2632.469904
YLR185W_YDR500C,74720.25468
YML026C_YDR450W,711650.2921
YPL012W,852.7089256
YAL035W,9689.162658
YDR064W,204546.7336
YGL189C_YER131W,1578626.782
YGR148C,14967.74781
YGL031C,26640.89274
YGR198W,876.7058079
YIL069C_YER074W,173675.6109
YPR148C,16714.74936
YEL034W_YJR047C,184944.2841
YHL004W,597.0703796
