Protein,Final_Quant
YML035C,3203.943997
YJL101C,2406.989346
YDL081C,121677.1094
YER056C-A_YIL052C,205740.519
YKL010C,2987.84969
YHR089C,17043.48628
YMR091C,1785.698064
YOR332W,64542.85095
YCL039W,609.4698148
YNL006W,898.0068742
YDR011W,852.7891207
YDR162C,1004.095888
YGR085C_YPR102C,200324.035
YDR353W,30596.88079
YNL096C,33985.40294
YER165W,33935.3541
YAR015W,8313.233923
YGR267C,5302.688328
YAL058W,402.7282576
YOR001W,880.4136023
YMR304W,1911.752992
YOR157C,2146.699351
YGL201C,2198.248294
YDL007W,10678.29978
YDR404C,3959.519874
YGR204W,23106.72188
YOR250C,1478.806497
YHR056C,1208.775942
YML028W,711653.4901
YNR016C,57605.42354
YBR169C,5609.572279
YHR087W,287123.1342
YNL328C,232.1122898
YDR378C,8893.575625
YDR368W,12788.8986
YCR083W,5833.127416
YKR084C,2041.52824
YER012W,12600.78672
YKR014C,6889.923685
YHR068W,24752.443
YMR309C,10182.2013
YPR043W_YJR094W-A,87657.9474
YNL135C,94629.58646
YIL075C,7557.786213
YBR212W,2072.857715
YPL280W_YMR322C_YOR391C,368.3896203
YBR082C,30631.00553
YBR082C_YDR059C,70216.90921
YLR327C,11667.15812
YEL071W,19777.09186
YDR513W,18497.47838
YML057W,1827.833351
YPR024W,1625.56358
YLR259C,44794.27328
YER094C,15457.3286
YNR043W,13385.18368
YDL219W,4113.315653
YBR143C,18555.58847
YPR191W,28495.46433
YDL084W,27470.41856
YPL215W,3601.543966
YPR033C,18259.17382
YML007W,1108.749001
YLR229C,3623.433713
YJR014W,8235.781695
YLL024C,55639.2399
YHR027C,11025.75334
YKL002W,14352.4957
YNR037C,2162.612507
YLR043C,42184.60439
YLR113W,1968.276601
YNL153C,4015.423267
YDR168W,4861.542709
YNL220W,57035.27026
YLR069C,2145.354576
YMR092C,10747.10065
YGL137W,51086.6571
YLR150W,83933.73446
YDL064W,5582.937101
YDR502C,95010.5324
YBR227C,1070.183636
YDR510W,39391.42433
YNL098C,16914.64512
YDR347W,2314.128277
YIL074C,26813.53306
YLL026W,26676.23002
YJR123W,237825.9267
YGR257C,845.3417168
YFL039C,141791.9228
YLL062C,3061.131097
YBL064C,13718.45467
YDL126C,37077.82429
YOR140W,531.0178987
YHR111W,2635.706542
YHR200W,11168.55307
YCR009C,8214.016149
YMR226C,18176.61524
YLR387C,1336.790898
YLL036C,1864.235078
YPL118W,1558.298553
YDL051W,6231.769301
YDR120C,2571.144789
YGR034W_YLR344W,83059.34595
YJR109C,43125.91481
YOR243C,1455.389269
YER063W,9496.346931
YKR006C,2394.259562
YFL005W,15122.23992
YOR046C,10725.87847
YDR507C,1486.315893
YCR072C,1752.079383
YNL131W,15358.79844
YDL141W,2428.253865
YLR174W,2920.128442
YHR174W,975685.4037
YDR129C,20124.27099
YOR003W,400.1942378
YNL274C,6807.470955
YIL078W,11963.95126
YFL022C,17165.31554
YLR264W_YOR167C,119194.3718
YPL079W_YBR191W,171173.3945
YEL043W,1082.251607
YPL225W,11589.46616
YDL235C,2915.841764
YCR053W,41909.85111
YLR191W,723.8919579
YHR112C,10201.83764
YBR263W,11304.18866
YHR042W,16573.62333
YJL008C,5556.009761
YDR341C,3576.431455
YGL202W,22251.86579
YDL097C,17092.42708
YJR060W,3237.401791
YHL015W,192209.0058
YIL036W,1053.786923
YMR154C,447.9629016
YDL061C,71927.12698
YMR116C,147850.0399
YKL024C,7008.181305
YER043C,108673.1517
YNL021W,1233.354446
YER003C,14403.66413
YGL066W,510.1939162
YOL064C,8599.77649
YPL105C,2325.65525
YDR303C,1918.833442
YOL139C,29218.30076
YOR239W,4779.210052
YDR092W,9342.621209
YKR060W,815.3316915
YLR009W,4831.981724
YNL302C_YOL121C,116901.9587
YOL127W,187782.7581
YJL184W,1938.553452
YBL022C,6036.799296
YBR248C,6418.116055
YLR305C,1143.278057
YHR025W,16006.92836
YDR496C,3317.444807
YEL026W,42102.54982
YBR121C,34366.28123
YIR001C,3903.741771
YLL029W,4719.422758
YHR108W,9031.042753
YNL118C,1909.975339
YCR084C,26106.28433
YGR211W,3879.109953
YDR116C,1745.183714
YEL022W,1280.374805
YPL131W,127468.5277
YDL110C,12315.80679
YOL021C,1960.015506
YBL058W,7320.165822
YOL077C,5531.744321
YKL180W_YJL177W,58259.01742
YGR235C,2468.230302
YPL188W,3618.7795
YGR154C,551.0729844
YOL031C,1439.25942
YNL227C,444.0783623
YER020W,1811.21987
YDL090C,533.2240505
YDR466W,678.8988819
YKL126W,4034.690118
YDL066W,31570.09831
YBR072W,214652.2354
YNL067W_YGL147C,178382.0778
YMR205C,37505.00257
YKL081W,31124.2123
YER133W,16524.01093
YOR257W,2437.255161
YMR012W,4343.830306
YDL185W,67875.74235
YDR023W,41376.37035
YNL108C,5399.634693
YDL106C,2948.243966
YOR136W,38555.69737
YKL212W,7066.336685
YOR007C,19147.20825
YLR092W,983.8655708
YGR155W,37947.84965
YPL048W,46825.04952
YAR014C,1201.263716
YMR291W,1959.274874
YKL088W,866.4698086
YLR348C,1105.451849
YOL111C,4473.285975
YDR389W,639.0647324
YLR301W,20689.62685
YOR133W_YDR385W,219975.7447
YBR031W_YDR012W,143440.4585
YNL316C,1802.406771
YER125W,1752.062043
YNL277W,7013.294504
YJL138C_YKR059W,92266.30752
YKR002W,2174.784526
YKL128C,5567.959854
YGL173C,17437.19465
YGL028C,1540.57312
YNL185C,2413.151454
YGR285C,26625.87171
YCL035C,20016.06374
YNL104C,26542.75857
YER177W,197862.3031
YOR227W,926.0747122
YCL044C,2178.667962
YBR103W,1980.725473
YPR182W,2718.003954
YNL178W,86892.94275
YHR104W,15641.61997
YGL252C,6099.202513
YFL014W,364319.69
YLR293C_YOR185C,84986.73642
YLR044C,4366751.063
YMR229C,1699.542827
YPL049C,1901.991484
YLR274W,3219.842075
YPR181C,7765.459626
YDL203C,235.2635396
YPR041W,11970.83447
YBL026W,6159.188117
YMR300C,5317.108249
YDL132W,1682.117778
YNL247W,8678.682573
YDL189W,1279.579197
YPR060C,2272.895847
YNL160W,24711.76405
YHR203C_YJR145C,62135.60184
YIL010W,2859.711605
YMR009W,2562.731306
YBL092W,109548.0623
YER155C,1613.196641
YNL007C,13581.86508
YKL080W,17052.13439
YOR362C,6281.849079
YOR347C,3821.342231
YGR095C,1648.442318
YDR091C,4011.895529
YML131W,2263.885548
YBR127C,94437.3997
YMR237W,6406.911864
YGR260W,12456.90506
YKL054C,11929.68042
YLR380W,1962.036865
YGL073W,957.8374848
YOR089C,1793.355363
YIL051C,15885.64923
YAL042W,12720.08273
YPR129W,3717.902448
YKL059C,921.7146355
YKL182W,33717.58261
YOR020C,25295.85383
YBL024W,7498.585069
YHR079C,87.40945455
YMR142C_YDL082W,244389.7946
YMR114C,874.6111421
YKL062W,420.529862
YGL180W,1050.196603
YMR109W,4554.464913
YNL197C,4137.366388
YER099C,3444.324932
YJR091C,1512.236752
YPL210C,2222.753994
YGR037C,26389.21511
YLR310C,1762.477274
YEL012W,1692.154974
YLR180W,117931.6282
YFL038C,33044.00038
YOR270C,15005.0189
YDL124W,39394.39588
YER091C,294584.8205
YLR203C,14857.89349
YOL038W,18546.15313
YBL057C,3869.221271
YIL094C,14980.4567
YER090W,47097.02148
YDL190C,3749.680494
YGR279C,14140.94351
YPL144W,1733.484117
YGR159C,8739.48102
YBL047C,8331.522314
YPR052C,72269.83097
YGR087C,30654.83371
YLR351C,3177.844123
YLR447C,42479.3776
YJR096W,1441.019917
YGR264C,16782.47735
YIL142W,7266.51337
YPR112C,1255.913541
YHR049W,28803.97129
YIL093C,2747.531514
YKR072C,2430.936611
YKL214C,4479.118882
YHR138C,9431.088862
YMR192W,284.7705322
YBR086C,3948.651838
YNR052C,2665.397396
YOR375C,307212.2043
YOR204W,24009.02031
YPL119C,944.293728
YIR037W,72727.56447
YNL154C,3507.481254
YDL092W,7163.669682
YGR078C,4602.367558
YFR050C,16827.68703
YPR163C,16040.21897
YMR039C,2825.606812
YNL112W,21660.55869
YER112W,12779.33404
YGR118W_YPR132W,114337.3007
YOL097C,6603.889934
YBR015C,16155.57723
YPR103W,14413.29567
YMR280C,629.0300876
YGL004C,1111.180286
YJR010W,68392.36555
YNL037C,94328.57598
YKL069W,2218.787357
YGR194C,3974.129897
YKL056C,123524.0374
YIR038C,14314.47467
YDR035W,15212.64226
YNL068C,2503.218384
YGL009C,2225.560261
YOR181W,939.113935
YLR200W,3218.956125
YOL052C,721.103417
YNL209W,84865.58667
YOL109W,172221.9211
YJL111W,2960.92507
YMR120C,56831.29604
YGR162W,7077.364734
YOL120C_YNL301C,144405.2502
YLR291C,3091.802926
YMR146C,11632.73105
YGR232W,9052.061481
YNL016W,52517.19955
YJR104C,180202.6069
YGR178C,9460.102117
YGR088W,2350.147008
YPL237W,9064.190871
YLR222C,713.181172
YER021W,8760.469111
YNL306W,3359.752249
YNL252C,2285.057056
YPL212C,4382.17068
YCR012W,3696853.394
YPR145W,29811.50468
YDR025W_YBR048W,210030.8811
YIR004W,1062.115584
YKL065C,4763.380385
YHR010W_YDR471W,476056.2601
YDR294C,3841.937287
YGL106W,23798.77625
YDL108W,1860.319444
YNL069C,63171.71706
YHR037W,8841.880605
YOR254C,10666.59742
YDR099W,48121.00189
YNL121C,15567.7737
YNR050C,11613.34603
YGL123W,204385.251
YLR355C,114388.0391
YGL105W,20121.92977
YJL179W,3009.00776
YOL049W,3561.103555
YBL091C,10098.68014
YHR121W,2377.31882
YPL151C,657.594249
YCL011C,3241.741749
YKL156W_YHR021C,115762.9738
YHR069C,2740.361902
YLL018C,161314.3779
YLR025W,15395.61469
YPR104C,275.6230123
YNL079C,19022.02532
YLR011W,1910.005981
YIR012W,6704.728885
YPR069C,41389.1202
YLR362W,1165.569794
YFR053C,140222.8415
YKL006W_YHL001W,277256.4742
YLR216C,55531.60689
YHR169W,1212.952754
YML124C,18327.75387
YKL129C,3097.804973
YDR296W,4300.210579
YDR041W,809.5754664
YGL003C,998.267322
YNL036W,22446.01687
YGL087C,15418.56024
YDL136W_YDL191W,222879.9855
YBR130C,1420.35553
YOL039W,110396.6555
YPL154C,329265.7087
YFL030W,1932.073306
YML126C,32861.8002
YGR012W,8191.657497
YOL149W,3532.356428
YDR226W,266373.6116
YMR035W,3110.765148
YDR158W,177468.2013
YBL039C,9723.636928
YBR267W,616.4920177
YER017C,2360.415202
YDR050C,2478667.573
YDR313C,1660.668165
YDR040C,4145.244024
YGR156W,2455.550988
YOR096W,634634.1111
YDR234W,760.6357748
YEL046C,2120.224699
YLR328W,27189.07405
YLR340W,12763.56298
YNL040W,867.6201115
YMR143W_YDL083C,48626.20865
YPR167C,4209.796583
YEL037C,23953.02552
YNL271C,1699.555033
