gene	log2_TE
YBL105C	-0.6670
YBL106C	-0.9403
YBL107C	-0.0112
YBR001C	-0.5880
YBR002C	-0.1183
YBR003W	-0.4650
YBR004C	-0.2956
YBR005W	-0.3820
YBR006W	0.0632
YBR007C	-0.4894
YBR010W	2.1895
YBR011C	1.8628
YBR012C	-1.4535
YBR013C	-0.3651
YBR014C	0.8301
YBR015C	-0.0598
YBR016W	1.6657
YBR017C	-0.2889
YBR021W	-0.3183
YBR022W	0.5407
YBR023C	-0.7328
YBR024W	0.2089
YBR025C	1.2941
YBR026C	0.6022
YBR028C	-0.5018
YBR029C	0.0149
YBR030W	-0.8456
YBR034C	0.5225
YBR035C	1.1699
YBR036C	0.2174
YBR037C	0.3890
YBR038W	-0.0889
YBR039W	1.0253
YBR041W	-0.4168
YBR042C	-0.4378
YBR043C	-1.3037
YBR044C	-0.9537
YBR046C	0.7648
YBR047W	0.4067
YBR048W	1.5551
YBR049C	0.3138
YBR050C	0.5684
YBR052C	0.8388
YBR053C	0.6369
YBR054W	0.3487
YBR055C	-0.8686
YBR056W	-0.0048
YBR056W-A	1.1197
YBR057C	0.1152
YBR058C	-0.1281
YBR058C-A	1.3324
YBR059C	-0.4665
YBR060C	-0.4295
YBR061C	0.4757
YBR062C	0.3118
YBR065C	-0.4897
YBR066C	0.3779
YBR067C	1.8778
YBR068C	0.0534
YBR069C	-0.1731
YBR070C	-0.4588
YBR071W	0.7453
YBR072W	1.0488
YBR073W	-0.8591
YBR074W	-0.5166
YBR077C	0.1803
YBR078W	1.7885
YBR079C	0.4439
YBR080C	0.3427
YBR081C	-0.8235
YBR082C	2.0139
YBR083W	0.2085
YBR084C-A	1.4518
YBR084W	-0.1569
YBR085C-A	1.2695
YBR085W	0.0304
YBR086C	-0.4499
YBR087W	0.0105
YBR088C	2.9512
YBR089C-A	2.2551
YBR091C	0.3324
YBR092C	0.5778
YBR093C	0.4622
YBR094W	-0.1565
YBR095C	-0.0976
YBR096W	0.3284
YBR097W	-0.9296
YBR098W	-0.0397
YBR101C	0.5455
YBR102C	-0.1651
YBR103W	-0.3689
YBR104W	0.1155
YBR105C	-0.1726
YBR106W	1.1079
YBR107C	-1.2202
YBR108W	-0.0730
YBR109C	1.6203
YBR109W-A	-0.8535
YBR110W	-0.5140
YBR111C	0.7673
YBR111W-A	0.4204
YBR112C	0.3955
YBR114W	-0.5663
YBR115C	0.0424
YBR119W	-0.0307
