target_id	length	eff_length	est_counts	tpm
YAL069W	315	288	1	0.0411047
YAL068W-A	255	228	0	0
YAL068C	363	336	0	0
YAL067W-A	228	201	0	0
YAL067C	1782	1755	48	0.323779
YAL066W	309	282	3	0.125938
YAL065C	387	360	62.8805	2.06775
YAL064W-B	381	354	5.66228	0.189353
YAL064C-A	381	354	0	0
YAL064W	285	258	0	0
YAL063C-A	291	264	1	0.0448415
YAL063C	3969	3942	44.4267	0.133417
YAL062W	1374	1347	233.354	2.05084
YAL061W	1254	1227	1721	16.6043
YAL060W	1149	1122	9655	101.869
YAL059C-A	423	396	0	0
YAL059W	639	612	2679	51.8209
YAL058W	1509	1482	1572.73	12.5629
YAL056C-A	351	324	127.273	4.65025
YAL056W	2643	2616	1063	4.81038
YAL055W	543	516	591	13.5588
YAL054C	2142	2115	108	0.604502
YAL053W	2352	2325	5403	27.5103
YAL051W	3144	3117	2501	9.49863
YAL049C	741	714	4104	68.0445
YAL048C	1989	1962	931.75	5.62192
YAL047W-A	330	303	38.2496	1.4944
YAL047C	1869	1842	847	5.44349
YAL046C	357	330	1869	67.047
YAL045C	309	282	607.988	25.5229
YAL044W-A	333	306	1328.01	51.3765
YAL044C	513	486	16436	400.354
YAL043C	2358	2331	3378	17.1554
YAL042C-A	378	351	1019.29	34.3774
YAL042W	1248	1221	9243.71	89.6221
YAL041W	2565	2538	3430	15.9988
YAL040C	1743	1716	872	6.01566
YAL039C	810	783	1650	24.9463
YAL038W	1503	1476	1.09405e+06	8774.74
YAL037C-B	975	948	64320.3	803.2
YAL037C-A	93	66	6	1.0762
YAL037W	804	777	39	0.594193
YAL036C	1110	1083	9252	101.133
YAL035W	3009	2982	61696.9	244.929
YAL034C-B	354	327	7.33929	0.265699
YAL034W-A	870	843	676.661	9.50227
YAL034C	1242	1215	158	1.53945
YAL033W	522	495	1357	32.4533
YAL032C	1140	1113	1077	11.4552
YAL031W-A	309	282	66.4678	2.79027
YAL031C	2283	2256	1211.53	6.3574
YAL030W	354	327	2107	76.2783
YAL029C	4416	4389	4396	11.857
YAL028W	1587	1560	195	1.47977
YAL027W	786	759	510.436	7.96129
YAL026C-A	438	411	239.442	6.89672
YAL026C	4068	4041	6168.12	18.0696
YAL025C	921	894	5780	76.5375
YAL024C	4308	4281	1660	4.59036
YAL023C	2280	2253	24682	129.689
YAL022C	1554	1527	2605	20.1954
YAL021C	2514	2487	7425.82	35.347
YAL020C	1002	975	599.125	7.2744
YAL019W-A	570	543	83.8746	1.82858
YAL019W	3396	3369	6044	21.2377
YAL018C	978	951	3	0.0373443
YAL017W	4071	4044	4019.55	11.7666
YAL016C-B	186	159	2	0.148908
YAL016C-A	315	288	423.617	17.4127
YAL016W	1908	1881	14185.4	89.2763
YAL015C	1200	1173	762	7.69026
YAL014C	768	741	1054	16.8386
YAL013W	1218	1191	2399	23.8453
YAL012W	1185	1158	62110	634.946
YAL011W	1878	1851	944.097	6.03801
YAL010C	1482	1455	799	6.50081
YAL009W	780	753	677	10.6433
YAL008W	597	570	2563	53.2302
YAL007C	648	621	6470	123.338
YAL005C	1929	1902	346002	2153.53
YAL004W	648	621	0	0
YAL003W	621	594	204267	4070.95
YAL002W	3825	3798	1072	3.34136
YAL001C	3483	3456	3066	10.5023
YAR002W	1620	1593	6200	46.0744
YAR002C-A	660	633	10894	203.736
YAR003W	1281	1254	958	9.04382
YAR007C	1866	1839	9282	59.7508
YAR008W	828	801	876	12.9466
YAR009C	3591	3564	945.078	3.13916
YAR010C	1323	1296	25126.9	229.519
YAR014C	2130	2103	4265	24.0084
YAR015W	921	894	12230	161.947
YAR018C	1308	1281	1081	9.98989
YAR019C	2925	2898	695.504	2.84109
YAR019W-A	333	306	9.49603	0.367371
YAR020C	168	141	0.587262	0.0493057
YAR023C	540	513	21	0.484603
YAR027W	708	681	2405.55	41.8168
