gene,mRNA_Half_Life
YNL112W,3.43565851
YKL078W,3.47169624
YCL036W,4.23562018
YOR095C,4.47950069
YBR296C,4.52311350
YNL141W,4.67043941
YJR047C,4.70019677
YMR128W,4.92566546
YBL004W,5.08119456
YPL012W,5.13037052
YNL132W,5.16549784
YIL019W,5.18334016
YOR341W,5.23423928
YLL008W,5.35859605
YBL039C,5.37561384
YMR229C,5.38391104
YML056C,5.39587654
YPR010C,5.44377414
YAL059W,5.55285886
YDL148C,5.55559403
YKL143W,5.56082625
YKL216W,5.63807635
YGR103W,5.63914908
YGL158W,5.64283053
YDL063C,5.68097774
YGR245C,5.70204994
YGL171W,5.70259719
YBL054W,5.71814882
YHR197W,5.74633078
YDR281C,5.75004345
YJL033W,5.76111615
YPR112C,5.82521550
YCL059C,5.85241568
YMR049C,5.90944562
YJL050W,5.92351110
YIR026C,5.96204017
YOR287C,6.30575885
YML093W,6.40279972
YDL153C,6.40993352
YGL078C,6.66546509
YNL182C,6.70670982
YCR057C,6.71133854
YMR290C,6.75879002
YDR324C,6.78267443
YDR101C,7.08343390
YHR040W,7.09098166
YKR024C,7.10892327
YIL064W,7.24420927
YCR087C-A,7.25283771
YHR169W,7.26218899
YDR060W,7.26637606
YJL109C,7.29406494
YOR004W,7.31324154
YHR085W,7.34586843
YDR465C,7.43062363
YHR066W,7.45435585
YPL183C,7.47008369
YOR272W,7.47730958
YNL151C,7.47791844
YDR021W,7.48028603
YDR083W,7.49153921
YIL103W,7.56657058
YOR340C,7.58374468
YIL096C,7.61353096
YMR259C,7.62263705
YPL266W,7.64336063
YKL014C,7.65630547
YDR496C,7.66317737
YGR280C,7.71883166
YDR384C,7.71957462
YGL120C,7.74962929
YOL077C,7.75948127
YLR002C,7.76489596
YNL175C,7.77707128
YGR271C-A,7.80740962
YBR267W,7.80929031
YOR119C,7.81340078
YDR087C,7.85722876
YPL126W,7.88855703
YBR069C,7.90122911
YJL122W,7.91232578
YBR247C,7.94201797
YBR142W,7.95196972
YBL006C,7.95599165
YLL034C,7.96095578
YNL062C,7.96339105
YKR081C,7.97353780
YLR432W,7.99130263
YBR084W,8.00433449
YCR072C,8.03425601
YDR299W,8.04322402
YGR128C,8.04378876
YOR108W,8.05120053
YAL025C,8.06751418
YLL024C,8.07616060
YBL028C,8.10547208
YPL093W,8.11611716
YOR206W,8.11743721
YER006W,8.11894490
YOL080C,8.18913163
YGR187C,8.25499473
YGR055W,8.25622428
YPL043W,8.28494378
YIL127C,8.33670270
YNR024W,8.36382692
YBR141C,8.37008058
YDL039C,8.38673290
YGR123C,8.39647868
YER042W,8.41624685
YGR200C,8.42052040
YDL167C,8.46135372
YGL029W,8.47162183
YPL086C,8.47571732
YDR120C,8.51942448
YLR401C,8.52529826
YMR239C,8.52610110
YER137C,8.55585635
YBR155W,8.56541316
YIL104C,8.58401279
YDL150W,8.59364025
YLR009W,8.59519919
YKL099C,8.64496631
YGR145W,8.64798095
YFL023W,8.67547215
YDR161W,8.67801946
YJL010C,8.68267106
YER110C,8.69004948
YGL147C,8.73295329
YDL213C,8.73564870
YBR092C,8.76915320
YGR211W,8.77721238
YHR170W,8.77909220
YHR052W,8.78820348
YNR054C,8.79423048
YPL211W,8.79601949
YKL191W,8.81823931
YGL099W,8.82659688
YDL060W,8.82847479
YJR002W,8.85056104
YNL061W,8.95080279
YLR363W-A,8.96777059
YJL198W,8.96812404
YLR129W,8.97556044
YCL058W-A,8.98197081
YDR449C,9.00327766
YMR011W,9.02240115
YNL162W-A,9.03489052
YLR276C,9.06308253
YPL193W,9.06457747
YNR003C,9.12368899
YML060W,9.13300939
YLR068W,9.14564293
YKL029C,9.16089850
YDR165W,9.16166722
YLR196W,9.16262722
YNL227C,9.17041630
YJL125C,9.19283199
YDR361C,9.23957202
YJL212C,9.26352566
YBL042C,9.27630082
YDL112W,9.28098059
YDL201W,9.31154149
YBR271W,9.36669026
YJR072C,9.37506597
YMR217W,9.38560865
YIL091C,9.42456255
YFL002C,9.43666226
YJR097W,9.43789988
YCL054W,9.44465388
YPL217C,9.47361480
YHR196W,9.47472178
YKL009W,9.49907006
YOR021C,9.50984792
YLR197W,9.54002877
YKL068W-A,9.54132938
YHR089C,9.55176245
YJL011C,9.55365757
YGL162W,9.56038515
YFL003C,9.56430133
YLR015W,9.57248740
YJR041C,9.59115003
YGL111W,9.59696446
YOL010W,9.59726254
YPL207W,9.61909604
YDR478W,9.62347091
YIL079C,9.63236675
YLR106C,9.63348580
YLR003C,9.64786502
YDR412W,9.68476402
YCL002C,9.69137969
YNL292W,9.69317418
YMR127C,9.69466259
YJL069C,9.71109241
YHR094C,9.73281853
YDR111C,9.73902044
YOL022C,9.74136813
YHR148W,9.74633873
YMR131C,9.75863840
YKR079C,9.78971921
YIL139C,9.79054181
YLR287C,9.81099560
YOR078W,9.81500226
YLR221C,9.81772814
YFR001W,9.84436690
YMR116C,9.85331578
YLL062C,9.85942689
YER073W,9.89610315
YOL144W,9.95408466
YPL273W,9.95751446
YER131W,9.96259000
YCR016W,10.00284188
YKL120W,10.03190862
YPL239W,10.05402775
YLL035W,10.05712466
YBL032W,10.06035074
YOL014W,10.06319969
YDR321W,10.06759932
YJL148W,10.08125577
YJL098W,10.10114593
YER126C,10.13313928
YOL093W,10.14453420
YMR269W,10.16847438
YEL055C,10.17039001
YML096W,10.17445912
YKL172W,10.21351315
YNL064C,10.25175233
YEL046C,10.25417856
YOR243C,10.28283092
YAL019W,10.28637555
YBR242W,10.29966670
YKR060W,10.30336045
YPL263C,10.30561651
YKL074C,10.31919499
YOR342C,10.33954001
YLL011W,10.34479639
YJR124C,10.35728121
YNL075W,10.37112869
YPL068C,10.37599583
YHR216W,10.39038392
YBR085W,10.40664818
YLR073C,10.41196740
YGL009C,10.42837070
YLR074C,10.44437632
YLR243W,10.44750469
YOR294W,10.45289872
YLR175W,10.47745063
YDR399W,10.49073497
YJL025W,10.51189778
YDR398W,10.52610450
YJR063W,10.55194024
YGL063W,10.55299562
YOR051C,10.56357641
YPR190C,10.58142545
YBR061C,10.59292862
YDR207C,10.62266124
YMR186W,10.62532401
YBR021W,10.68330101
YDL014W,10.69061655
YHR081W,10.69186492
YLR449W,10.69741657
YOR116C,10.70742557
YML082W,10.73864943
YOR252W,10.76250605
YPL165C,10.80952618
YAL036C,10.81381672
YNL191W,10.81436961
YHR070W,10.84582232
YHR184W,10.87096692
YNR015W,10.89384968
YER064C,10.90207364
YBR031W,10.90634312
YNL095C,10.93623390
YER036C,10.95676079
YGR129W,10.96937108
YFL001W,10.97459150
YKL082C,10.97686273
