gene,mRNA_Half_Life
YNL023C,10.97822982
YDL241W,10.98869686
YBR025C,10.98982093
YGR159C,11.00786996
YHR185C,11.00915222
YGR173W,11.02028528
YLR180W,11.04472735
YHR062C,11.05001314
YOR346W,11.06950315
YNL186W,11.07829777
YOR001W,11.11179480
YLR435W,11.14224442
YOL101C,11.14791189
YML043C,11.20268005
YML022W,11.21907768
YLR172C,11.22141601
YER149C,11.23295012
YKR056W,11.23438179
YLR406C,11.26495043
YDL229W,11.28621962
YCR105W,11.29339345
YNL207W,11.29394231
YHL039W,11.30498458
YDR046C,11.30940318
YER049W,11.32344110
YML080W,11.36739134
YKL144C,11.39091877
YHR208W,11.40080141
YDR045C,11.42934608
YOR179C,11.44640861
YEL021W,11.45523563
YPR144C,11.46619691
YGR169C-A,11.48358563
YGR004W,11.49497870
YJR016C,11.50836242
YLR081W,11.53353039
YNL033W,11.54410433
YLR413W,11.55354463
YJR009C,11.55446023
YER106W,11.55463491
YLL061W,11.57158273
YMR014W,11.57242310
YER127W,11.57382322
YDL031W,11.57544604
YOR027W,11.58175694
YLR044C,11.58854050
YPL240C,11.59097900
YDR397C,11.59857251
YOR271C,11.62909925
YLR249W,11.64011580
YOR028C,11.65175444
YML108W,11.65491951
YJL102W,11.65548867
YOR101W,11.66153147
YML065W,11.68493411
YLR364W,11.68708896
YOR154W,11.71367539
YLR029C,11.71828025
YOR006C,11.74178134
YNL119W,11.74348905
YOR339C,11.74400755
YJR067C,11.74559884
YOR073W,11.77349886
YMR145C,11.77375048
YBR068C,11.78838883
YEL042W,11.80290193
YDL051W,11.80430747
YMR247C,11.83756835
YOR168W,11.84353703
YJL190C,11.84465929
YOL124C,11.85199730
YDR514C,11.85467799
YGL031C,11.85758897
YLR017W,11.86136797
YEL026W,11.87790432
YGR162W,11.88255439
YDR492W,11.89874742
YOL041C,11.93236211
YLR150W,11.93831934
YDL194W,11.93852645
YPL146C,11.93967646
YHR034C,11.95637156
YKL001C,11.96188560
YNL234W,11.96702180
YKL056C,11.96770751
YKL027W,11.97339411
YLR355C,11.98837377
YBR030W,11.99291364
YIL110W,12.00058728
YDR222W,12.00108007
YLR014C,12.01517422
YPL133C,12.02035997
YER082C,12.02616989
YHR031C,12.02799201
YLR167W,12.02808760
YNL313C,12.03084210
YDR179C,12.03347962
YLR372W,12.03786311
YBL063W,12.15373006
YMR223W,12.23144164
YKR095W-A,12.23507152
YDL083C,12.28586362
YMR312W,12.33547696
YNR038W,12.41555471
YML026C,12.50465206
YBL092W,12.54397898
YNL178W,12.58482364
YDR275W,12.60066672
YMR233W,12.61061562
YOR188W,12.63918333
YHR065C,12.65992023
YGR034W,12.66343711
YKR028W,12.67917737
YDR447C,12.71925102
YDR450W,12.75954660
YEL054C,12.86762985
YCR047C,12.92695885
YGL263W,12.93576928
YGR148C,12.97644787
YOL020W,12.97703425
YLR083C,12.98730443
YLR328W,13.01576839
YER056C-A,13.02072422
YDR243C,13.03436864
YLR388W,13.04750224
YML113W,13.08014062
YBL087C,13.10079078
YKL187C,13.12450729
YDR047W,13.15051846
YPR110C,13.16039775
YBL081W,13.21454161
YDL043C,13.21733939
YER102W,13.21738557
YBL044W,13.23958950
YJR112W,13.25494307
YDR440W,13.27418164
YNL021W,13.30084184
YGL155W,13.31131047
YLR333C,13.31378179
YIL008W,13.31857055
YJR141W,13.34503702
YJL177W,13.35972361
YOR091W,13.39773670
YOL052C,13.42024833
YPR137W,13.43094117
YGL008C,13.45368050
YER002W,13.45915432
YKL180W,13.46189183
YHR144C,13.46372698
YIL084C,13.53198348
YIL133C,13.55071281
YPR143W,13.57299621
YOL040C,13.58860536
YJR055W,13.59225846
YFR031C-A,13.59975030
YJR145C,13.63754744
YDR341C,13.64472164
YBR048W,13.64538582
YGR095C,13.64567023
YMR093W,13.65674832
YKL006W,13.66757105
YOR305W,13.67075927
YHR010W,13.67288380
YGR260W,13.67292817
YJL136C,13.69700802
YNL022C,13.70651242
YNL096C,13.71405916
YOR224C,13.72298951
YGR081C,13.72853858
YNL149C,13.73001612
YOR063W,13.74706434
YOR355W,13.75517239
YPL131W,13.76896350
YMR246W,13.81570247
YLL045C,13.81691086
YLR265C,13.81806743
YHL026C,13.85961513
YOR096W,13.86406854
YGR214W,13.87314143
YGL169W,13.88566104
YJL077W-B,13.91004668
YPL090C,13.94536314
YOR369C,13.95515565
YDR444W,13.96139783
YMR234W,13.96801772
YEL003W,14.03505471
YDR367W,14.03834508
YLR448W,14.04223689
YDR364C,14.05040061
YDL208W,14.06051315
YKR010C,14.06487173
YIL069C,14.07447070
YDR312W,14.07930042
YGR155W,14.08479789
YNL216W,14.09497582
YBR233W-A,14.09894187
YLR420W,14.10610619
YOL039W,14.12547558
YMR260C,14.12574178
YNL110C,14.13140069
YKR094C,14.14884739
YPR119W,14.16526490
YDR527W,14.18453762
YBR002C,14.19807406
YLR185W,14.21137122
YJR094W-A,14.22648519
YMR143W,14.25805517
YDL133C-A,14.26190938
YIL052C,14.27076018
YHR203C,14.27166744
YJR068W,14.28633055
YDR300C,14.29385044
YGR090W,14.31157374
YDL166C,14.33807839
YER156C,14.33859868
YIL014W,14.34621792
YGR099W,14.34734136
YCR034W,14.34931740
YHR207C,14.35035074
YGR251W,14.35159224
YDR382W,14.36692988
YJR031C,14.38286633
YHR020W,14.38386870
YJL200C,14.38793475
YLR325C,14.41787117
YLR186W,14.44119694
YOR359W,14.44122281
YLR228C,14.45306234
YBR189W,14.45510681
YGR158C,14.48791168
YLR272C,14.49558604
YPL149W,14.50161023
YBR213W,14.50546390
YLR344W,14.51330653
YOR129C,14.52648088
YHR049W,14.55068852
YHR174W,14.56230323
YLR384C,14.57059553
YJR129C,14.57820882
YER074W,14.58290381
YFR012W-A,14.60049030
YLR335W,14.60671276
YKL132C,14.62319585
YER007C-A,14.62725362
YDR343C,14.64425387
YIL078W,14.65314771
YGL030W,14.66031368
YPL122C,14.66389306
YER117W,14.68786148
YDR508C,14.70076901
YPL101W,14.71028761
YOL094C,14.72176795
YPR102C,14.73330799
YJL134W,14.73824353
YLR285W,14.73872818
YHR069C,14.75266142
YBR055C,14.75643936
YPR139C,14.76548070
YPR031W,14.77264335
YNL164C,14.78351977
YNL302C,14.79275529
YMR163C,14.79648368
YOR308C,14.79824586
YBR154C,14.80734600
YKR026C,14.81158269
YBR257W,14.82303862
YJL208C,14.82404863
YNR046W,14.82959586
YER118C,14.83687877
YDR540C,14.85227920
YLR048W,14.85616997
YNL069C,14.85718578
YDR454C,14.85754944
YHR129C,14.87911227
YLR091W,14.88686764
YBR084C-A,14.89856195
YBL043W,14.90719550
YGL050W,14.91173265
YOR048C,14.92442600
YBL027W,14.94533245
YOR361C,14.95035191
YDR471W,14.95071212
YGR157W,14.95621653
YLL004W,14.95675503
YDL075W,14.98497089
YPR118W,14.98630078
YDL121C,14.99083563
YOL102C,14.99243852
YDR502C,14.99317651
YKR063C,14.99377514
YML005W,14.99412919
YDR395W,15.02475611
YLR099W-A,15.03008483
YBL072C,15.03691663
YBR181C,15.04021283
YGR188C,15.04223939
YDR025W,15.05818264
YKL181W,15.06274801
YPR132W,15.06392518
YBL024W,15.07274325
YFR032C-A,15.07480750
YAL067C,15.07739846
YER146W,15.07912017
YNL256W,15.07961415
YJR123W,15.08985826
YLR042C,15.10250556
YER142C,15.10500409
YLR051C,15.10776814
YDR064W,15.12627048
YLR405W,15.15808294
YPL157W,15.16084063
YKL149C,15.16196418
YPL076W,15.18068568
YOR145C,15.18402373
YDL136W,15.18788353
YIL150C,15.19400125
YOL054W,15.19538431
YGL135W,15.19995590
YJL205C,15.21649954
YDL070W,15.22761148
YLR154C,15.23242602
YBR034C,15.24070500
YMR292W,15.25144587
YDR359C,15.26264602
YMR138W,15.26768628
YDR279W,15.27233908
YHR021C,15.27301638
YDL081C,15.27380832
YDR217C,15.29256518
YML094W,15.33972277
YDR091C,15.35419161
YKR004C,15.35603906
YML063W,15.36291314
YNL249C,15.37143474
YGR264C,15.38097480
YBL068W,15.39846722
YGR094W,15.40185648
YDL191W,15.40566911
YMR242C,15.41097250
YNL308C,15.42963912
YGR234W,15.44713273
YOR159C,15.45160425
YML073C,15.46209361
YDR325W,15.46854843
YHR072W-A,15.47288962
YHR168W,15.47390727
YNR029C,15.47461015
YPR163C,15.47773820
YOL127W,15.47874477
YPL227C,15.49220275
YLR399C,15.49775731
YOR293W,15.52460557
YNL065W,15.53648963
YER165W,15.54065389
YHL009C,15.54150317
YPL160W,15.54678102
YMR308C,15.54724634
YJR132W,15.54808481
YPL226W,15.55888388
YPL128C,15.57212979
YML018C,15.58254253
YIL053W,15.59111643
YDL184C,15.59648315
YCR090C,15.60867129
YMR268C,15.61425873
YJR056C,15.61813363
YHR048W,15.62640496
YHL013C,15.63668452
YKL015W,15.65894177
YOR107W,15.66012192
YPL249C-A,15.66502741
YOR217W,15.66521181
YFR028C,15.66723249
YLR061W,15.67513276
YNR016C,15.73592406
YBR243C,15.73915576
YDR260C,15.74358164
YPL061W,15.74555590
YLR022C,15.74782809
YBL014C,15.76645253
YIL167W,15.76901182
YDR049W,15.77965976
YOL097C,15.78548927
YDL130W,15.79102874
YFL017C,15.82242356
YOR174W,15.82955121
YBR029C,15.83866685
YNR048W,15.84772741
YHR068W,15.85381959
YEL037C,15.85955434
YIL092W,15.89033708
YOL121C,15.89383434
YOL086C,15.89632377
YAL034W-A,15.93397257
YGR001C,15.93506009
YAL023C,15.95037003
YOR312C,15.95289823
YLR067C,15.96720729
YOR319W,15.96833768
YKL072W,15.97460987
YNL209W,15.98090030
YDR152W,15.98672604
YKL166C,15.99129759
YPL063W,16.00294656
YJL095W,16.01298137
YNR004W,16.02990725
YIL018W,16.07074849
YCR051W,16.07709589
YGR049W,16.08243091
YDR121W,16.09077564
YML024W,16.10219751
YDR390C,16.10489571
YLR263W,16.10547438
YLR323C,16.10597652
YLR143W,16.10924272
YDL155W,16.11939465
YNL232W,16.12542939
YMR130W,16.13931468
YGL257C,16.14360127
YLL033W,16.15215984
YOR344C,16.15971383
YNL221C,16.17256776
YBL031W,16.20579520
YNR012W,16.20694119
YDR418W,16.20982239
YGR052W,16.21574243
YLR347C,16.21956550
YHR141C,16.22168397
YGL123W,16.22754286
YDR180W,16.23645050
YPR068C,16.23763801
YKL049C,16.24589292
YLR419W,16.27744404
YMR244C-A,16.28168060
YMR146C,16.29372676
YLR451W,16.29574090
YOR234C,16.31168397
YGR124W,16.32065018
YDR385W,16.32476245
YMR213W,16.33526832
YLR210W,16.33578885
YDR198C,16.33706734
YNL162W,16.35332024
YOR253W,16.35442230
YGL098W,16.35768376
YOR385W,16.38206100
YMR043W,16.38583323
YBR060C,16.39327998
YHL015W,16.39534539
YOR298C-A,16.39793164
YHR127W,16.41585726
YKR078W,16.41701311
YHR103W,16.41822949
YNL001W,16.42381431
YDR538W,16.43381255
YNL068C,16.47218935
YGL076C,16.49661569
YNR017W,16.49854898
YOR269W,16.50584617
YGR146C-A,16.50712618
YHR153C,16.51163212
YMR309C,16.51381035
YJR032W,16.51392784
YBR249C,16.51409612
YLR411W,16.54721967
YNL072W,16.54877763
YBL071W-A,16.55044448
YOL142W,16.55364662
YHR182W,16.55446445
YDL160C-A,16.55766714
YBR187W,16.55862757
YOL103W,16.57997651
YMR142C,16.60298358
YGL126W,16.60709290
YNR053C,16.60746558
YCR027C,16.61336654
YDR012W,16.61704573
YKL060C,16.62104813
YNL187W,16.63254188
YBR065C,16.63856854
YGL055W,16.64627382
YPL220W,16.65376709
YPL209C,16.65495429
YNL246W,16.67616710
YMR283C,16.68204285
YBR176W,16.68834915
YGL101W,16.69454038
YEL044W,16.70625995
YBR238C,16.71204413
YHL033C,16.71935474
YGL189C,16.72627628
YDR429C,16.72800560
YNL163C,16.72878360
YFR038W,16.72889938
YGR096W,16.73168021
YMR212C,16.73630108
YDL209C,16.73860606
YGL148W,16.74579145
YIL166C,16.75198721
YNR062C,16.76957545
YGL113W,16.77346685
YIL061C,16.79775832
YBL002W,16.81175214
YOR182C,16.81953989
YGL256W,16.82655617
YBR252W,16.85261024
YER139C,16.86235831
YKR044W,16.88326599
YMR012W,16.89174759
YMR125W,16.89373738
YHL011C,16.90835313
YPR105C,16.91968956
YLR316C,16.92239918
YDR302W,16.92514798
YPL253C,16.93007161
YNL247W,16.93296854
YDR497C,16.93407230
YDL143W,16.93592861
YGR083C,16.94520047
YKR090W,16.98314367
YNL038W,16.98364553
YDR234W,16.98598383
YLR288C,16.98860192
YDR280W,16.99806107
YKR025W,16.99998436
YFR018C,17.00091679
YOL120C,17.01312059
YDL098C,17.01454310
YPL241C,17.01917163
YGL103W,17.02273385
YIL148W,17.04612428
YPR056W,17.04776146
YDR188W,17.05440887
YLR438C-A,17.06696227
YPR060C,17.07594089
YHL001W,17.09195783
YCR054C,17.09672116
YGR105W,17.09987876
YGR198W,17.10777375
YBR281C,17.13090685
YKL205W,17.13239160
YKL018C-A,17.13651022
YDR464W,17.13787550
YHR046C,17.14721856
YPR124W,17.14871954
YDR240C,17.15460583
YDL030W,17.15665383
YKL134C,17.16249358
YGL090W,17.16388434
YPL079W,17.18349648
YLR024C,17.18860203
YER099C,17.19976980
YPL212C,17.23115914
YGL246C,17.23299867
YER025W,17.26761089
YGR093W,17.27705730
YIL159W,17.29099333
YKR092C,17.29242484
YGR085C,17.30763596
YPL141C,17.31036971
YPR048W,17.31058950
YIL004C,17.31394735
YJL183W,17.32288033
YCL011C,17.33461225
YIR012W,17.33737227
YMR205C,17.34983041
YHR076W,17.35050191
YCR031C,17.38609047
YAL038W,17.40462954
YLR141W,17.40669332
YPL245W,17.41780403
YGR118W,17.42961185
YPL030W,17.43108672
YDR140W,17.43336827
YPR043W,17.44309415
YLR244C,17.46979924
YCR008W,17.49210700
YOR304C-A,17.49919270
YAL033W,17.49957295
YPR104C,17.50087028
YPL254W,17.50146605
YBL067C,17.52966762
YML023C,17.54112373
YJL058C,17.58547241
YDL111C,17.58775301
YDR500C,17.58938028
YBR162W-A,17.63629312
YKL004W,17.63760935
YPR187W,17.64525751
YPR080W,17.64684399
YEL004W,17.67229090
YLR075W,17.69130988
YER133W,17.69854099
YLR231C,17.70207317
YPL081W,17.70301191
YOR066W,17.71797680
YDL061C,17.71924675
YCR060W,17.74436145
YHR064C,17.74881113
YDL082W,17.77373403
YDL129W,17.83325730
YDL055C,17.83736068
YGR286C,17.86625276
YPR002W,17.87987382
YAL047C,17.88157749
YPL083C,17.88409517
YJR118C,17.89100814
YBR208C,17.89643085
YJR094C,17.89682917
YMR194W,17.90732936
YDR065W,17.90874366
YOR315W,17.93065865
YDR037W,18.01290502
YPR074C,18.02948799
YOR356W,18.08334368
YMR168C,18.28046247
YPL139C,18.29125268
YDR363W,18.32900569
YKL154W,18.35599951
YJR101W,18.35845091
YDR216W,18.43966928
YMR167W,18.45140998
YNL188W,18.50392254
YKR037C,18.55627053
YJR131W,18.59834977
YDR201W,18.60056481
YMR215W,18.63937802
YJR135C,18.67266526
YPR120C,18.69192433
YMR016C,18.70948425
YPL143W,18.73094418
YGR120C,18.74875783
YGL136C,18.75650386
YLR036C,18.76262436
YPR196W,18.76493181
YJR025C,18.78934159
YDR291W,18.79044031
YDR233C,18.99385122
YHR128W,19.04210576
YPL244C,19.14454211
YHL003C,19.18269126
YPL231W,19.23278488
YBR184W,19.25768234
YOL002C,19.26285246
YGL251C,19.27213032
YOL005C,19.27752350
YDR023W,19.31236020
YKL156W,19.32660408
YCR063W,19.33017652
YGL092W,19.33374173
YHR107C,19.33785038
YGR016W,19.35456519
YGR212W,19.39555541
YPR157W,19.40603528
YLR340W,19.49416583
YCL026C-B,19.49483321
YML104C,19.52549079
YPR071W,19.53885180
YNL087W,19.56933907
YBR245C,19.59058029
YCR024C-B,19.61254382
YKL112W,19.61438853
YIL126W,19.62249812
YIL009W,19.62383683
YOL164W,19.62649288
YNR076W,19.63062239
YOR071C,19.66612056
YMR003W,19.70499481
YGL243W,19.73299051
YDR132C,19.76404231
YMR177W,19.76494022
YIL158W,19.82589243
YML127W,19.82656786
YOR140W,19.83880725
YNL133C,19.86371435
YER154W,19.87515286
YJL081C,19.89777101
YMR214W,19.91678739
YGR021W,19.93276605
YAR003W,19.94240835
YJL189W,20.02950263
YBR121C,20.04415801
YNL181W,20.07080616
YGL201C,20.15924453
YGR195W,20.17355832
YNR009W,20.22332636
YOR153W,20.22560116
YLR146C,20.22939926
YGR058W,20.32108855
YER152C,20.32330526
YJL072C,20.33258135
YKL182W,20.33378006
YDL064W,20.34732737
YJR010C-A,20.37332414
YPR052C,20.37429932
YLL042C,20.38574434
YGR040W,20.38917229
YGR017W,20.38973385
YDR428C,20.39102602
YCL047C,20.41339564
YDR362C,20.43231153
YMR102C,20.43913137
YKR074W,20.44217198
YGL211W,20.45013946
YDR192C,20.45106295
YBR119W,20.48897109
YBR254C,20.50111372
YBR014C,20.50194397
YGR041W,20.50615041
YHR117W,20.50933910
YPR141C,20.53996951
YLR360W,20.55287089
YNL102W,20.57171399
YLR226W,20.57811097
YDR050C,20.58027945
YLR052W,20.58881270
YDR176W,20.61182605
YMR281W,20.61450971
YNL291C,20.61947095
YLL022C,20.62472106
YJL087C,20.63646982
YGR098C,20.64889384
YKL130C,20.65444506
YLR353W,20.66263106
YEL053C,20.66944818
YJL092W,20.67265641
YLL032C,20.68103848
YOR130C,20.68525401
YGR072W,20.68874711
YMR172W,20.68959229
YER184C,20.69998904
YDR310C,20.72411162
YML067C,20.72905124
YMR274C,20.73020954
YLL002W,20.74079004
YML036W,20.74296130
YDR346C,20.74914665
YGR047C,20.77436704
YHR041C,20.79920981
YLR200W,20.80747916
YHR134W,20.84424175
YDL202W,20.86178584
YGL139W,20.88360991
YJR014W,20.90395446
YOR038C,20.91567625
YOR166C,20.91810240
YNL275W,20.92722147
YMR108W,20.92853159
YGL232W,20.94060850
YLL056C,20.94277876
YLR018C,20.94734700
YDL219W,20.94761711
YOL006C,20.94790860
YBR094W,20.94915684
YOL047C,20.97536354
YGR281W,20.97562119
YDR038C,20.98026613
YMR036C,20.98216989
YBR143C,20.98817253
YPL069C,20.99661512
YDL192W,21.00358508
YOL115W,21.01004404
YGR229C,21.02496126
YNL050C,21.02513255
YEL030W,21.03142808
YDR488C,21.03849778
YGL176C,21.04603062
YJR147W,21.07869589
YNR018W,21.08290677
YLR368W,21.08977376
YGR033C,21.09338817
YMR075W,21.12449549
YLL018C,21.13847330
YLR008C,21.14508591
YJL186W,21.15270285
YOR192C-C,21.15610742
YMR134W,21.15998753
YGL144C,21.16022156
YJL139C,21.16861649
YOR254C,21.18608142
YKR099W,21.19304420
YKR057W,21.19421939
YLR214W,21.19528604
YFR055W,21.19571413
YGL080W,21.20701736
YEL016C,21.21672838
YCL061C,21.21975436
YOR350C,21.25451701
YPL132W,21.26612999
YHR003C,21.27387368
YDR473C,21.27485689
YBR259W,21.28776719
YOR164C,21.29824741
YBL107C,21.31375650
YCR043C,21.32313073
YER027C,21.34490164
YHR109W,21.34991142
YML074C,21.35682481
YDR322W,21.35800679
YFL009W,21.37982927
YNR028W,21.39034440
YLR192C,21.39167452
YGL079W,21.39707740
YOL021C,21.40034996
YDR054C,21.41120947
YKL183W,21.41322820
YKR027W,21.41422471
YML019W,21.42254077
YBL008W,21.43261777
YER159C,21.43657182
YOR210W,21.44161531
YDL084W,21.44483989
YMR270C,21.44498688
YLR115W,21.44621211
YGR037C,21.44975824
YER114C,21.45485179
YBL018C,21.47480739
YDR066C,21.49503778
YDR009W,21.50169957
YML095C,21.50229654
YKL113C,21.51816313
YML064C,21.53026888
YJR057W,21.53442472
YIR005W,21.53700830
YML097C,21.54227522
YMR263W,21.54839915
YOR106W,21.56941239
YER186C,21.57038559
YIL102C-A,21.57476709
YEL032W,21.58424110
YOR251C,21.60334990
YHR119W,21.60423813
YJR143C,21.60638760
YJR007W,21.63872532
YIL022W,21.65965469
YPR183W,21.66590349
YNL277W,21.68144363
YIL161W,21.69315820
YLR145W,21.69887571
YHR118C,21.71398531
YEL017W,21.71719575
YGR210C,21.72047254
YPL248C,21.73755322
YBR244W,21.73841077
YJL133W,21.74180185
YMR070W,21.78924907
YER078C,21.79028747
YDR448W,21.79186561
YKL073W,21.79298553
YML061C,21.79378804
YJL168C,21.80097761
YJL145W,21.81330078
YBR164C,21.81648911
YBL011W,21.82892322
YIR028W,21.83182715
YDR107C,21.84337026
YER043C,21.84847801
YER029C,21.86653928
YDR226W,21.86788299
YMR112C,21.87192686
YJL044C,21.87360654
YDL108W,21.87660737
YMR059W,21.88080146
YDR117C,21.89521357
YNL107W,21.89563416
YOR246C,21.90954495
YHR088W,21.92804088
YPR113W,21.93603795
YDR212W,21.93615450
YGL061C,21.93909592
YGR171C,21.93987485
YMR055C,21.94348346
YML106W,21.94903160
YGL112C,21.94929287
YPR041W,21.95234742
YOR335C,21.96076941
YER070W,21.97828178
YDL198C,21.98598342
YJL013C,21.99789396
YOR094W,22.01427806
YOR175C,22.02651868
YPL199C,22.02734344
YHR149C,22.03453273
YBR263W,22.03463439
YGR150C,22.03756560
YDL085C-A,22.03806487
YMR243C,22.04156310
