ENSG,Degradation_rates
YOR113W,0.00375686
YOR099W,0.00375261
YDL073W,0.00375039
YOR316C,0.00373893
YNL052W,0.00373064
YOR148C,0.00370961
YML009C,0.00370879
YGR279C,0.00370129
YHR082C,0.00368987
YNR037C,0.00368870
YGL028C,0.00367710
YIL144W,0.00367535
YDL224C,0.00366286
YOR078W,0.00365239
YBR242W,0.00360814
YGR189C,0.00360184
YLR108C,0.00358969
YJL147C,0.00356254
YDR054C,0.00354551
YOR374W,0.00354135
R0040C,0.00354092
YIL056W,0.00353587
YHR005C-A,0.00351697
YBL054W,0.00350571
YHR094C,0.00349651
YDR143C,0.00347926
YPR188C,0.00347174
YLR091W,0.00346318
YOR279C,0.00341352
YJL016W,0.00341156
YLR131C,0.00340831
YLR191W,0.00340135
YLR392C,0.00339811
YER095W,0.00336934
YPL221W,0.00334694
YGR235C,0.00333538
YDR464W,0.00331400
YGL053W,0.00331310
YLR289W,0.00330795
YER050C,0.00328758
YNL238W,0.00328695
YMR255W,0.00326838
YKL072W,0.00326365
YPL127C,0.00326085
YDR208W,0.00324961
YER077C,0.00323364
YGR032W;YLR342W,0.00323288
YOR373W,0.00323087
YAL044W-A,0.00320075
YOR188W,0.00319724
YDL110C,0.00319408
YCL012C,0.00318431
YHR161C,0.00317843
YPL194W,0.00316625
YLR350W,0.00316098
YMR210W,0.00315641
YGL038C,0.00314001
YGR008C,0.00313330
YLR363W-A,0.00313221
YMR295C,0.00313111
YDL045W-A,0.00312909
YOL054W,0.00312896
YBL093C,0.00312606
YGL035C,0.00311080
YBR023C,0.00310822
YPR079W,0.00309435
YNL245C,0.00308582
YOR231W,0.00306936
YDR483W,0.00306046
YKL095W,0.00306045
YGL057C,0.00304448
YDR039C,0.00304077
YHR078W,0.00302412
YHR132C,0.00301310
YPR095C,0.00300683
YOL108C,0.00300624
YLR375W,0.00299714
YLR395C,0.00299321
YGR178C,0.00299203
YFR038W,0.00298391
YLR019W,0.00297932
YIL155C,0.00297780
YER079W,0.00297461
YLR278C,0.00297148
YER075C,0.00295571
YPL274W,0.00295199
YER070W,0.00295126
YPL140C,0.00294858
YHR097C,0.00294591
YNR022C,0.00294384
YFR036W,0.00293693
YBR162C,0.00293474
YGL036W,0.00292295
YGR081C,0.00291545
YER051W,0.00291444
YGL203C,0.00291428
YPL061W,0.00291361
YKL141W,0.00289116
YDL175C,0.00288748
YKL155C,0.00288094
YGL017W,0.00287206
YML004C,0.00285645
YGR280C,0.00285079
YIL131C,0.00284065
YKL022C,0.00282229
YJR140C,0.00281937
YIR014W,0.00281915
YOL045W,0.00280902
YML093W,0.00280274
YML128C,0.00279418
YMR147W,0.00279407
YIL127C,0.00279362
YGR136W,0.00278395
YPR011C,0.00277623
YKR089C,0.00277221
YCR026C,0.00276989
YOR075W,0.00276759
YGR102C,0.00276109
YLL015W,0.00276055
YMR145C,0.00275613
YCL033C,0.00275576
YIR010W,0.00274923
YIL114C,0.00274533
YLR214W,0.00273468
YNR036C,0.00272682
YMR286W,0.00272366
YJL166W,0.00272205
YLR265C,0.00271826
YJL174W,0.00271549
YBR091C,0.00270341
YNR032W,0.00270268
YDL176W,0.00270236
YOR303W,0.00269657
YLR117C,0.00269411
YDL197C,0.00268928
YGL029W,0.00268434
YHR116W,0.00268332
YKL174C,0.00267148
YFR029W,0.00266337
YBL025W,0.00266164
YMR272C,0.00266035
YHL002W,0.00265820
YBL086C,0.00265723
YGR028W,0.00265638
YHR202W,0.00265353
YDL139C,0.00264660
YNL306W,0.00264256
YKL119C,0.00264169
YBR265W,0.00264136
YJL098W,0.00263983
YHR036W,0.00263797
YDR428C,0.00263578
YKL045W,0.00263510
YIL017C,0.00263132
YBL016W,0.00263110
YML109W,0.00263049
YOR189W,0.00263022
YBR229C,0.00262588
YIL002W-A,0.00262209
YDR373W,0.00262190
YIR002C,0.00262170
YKR021W,0.00261944
YML129C,0.00261893
YBR231C,0.00261785
YKL167C,0.00261686
YGR183C,0.00261212
YML081C-A,0.00261094
YHR088W,0.00260980
YGR258C,0.00260827
YIL111W,0.00260710
YDR227W,0.00260039
YIL095W,0.00259024
YOR385W,0.00259011
YNL169C,0.00257842
YPL046C,0.00257696
YOL070C,0.00257568
YOL051W,0.00257289
YDR494W,0.00255800
YBR188C,0.00255760
YGL194C,0.00254964
YLR414C,0.00254883
YPR104C,0.00254774
YGR245C,0.00253809
YHL004W,0.00253570
YJR112W,0.00252716
YOR006C,0.00251963
YDR318W,0.00251745
YGR215W,0.00251434
YIL003W,0.00251425
YLR452C,0.00251357
YBL090W,0.00250938
YOR196C,0.00250803
YLR038C,0.00250730
YPL207W,0.00250374
YJR147W,0.00250313
YHR119W,0.00249747
YNL167C,0.00249404
YGL225W,0.00249312
YOR290C,0.00249129
YOR307C,0.00248900
YOR020W-A,0.00248812
YMR032W,0.00248655
YBR007C,0.00247843
YAL046C,0.00247563
YDR261C,0.00247551
YNL039W,0.00247221
